INFO:__main__:dataset:
- single-graph
- Amazon
- Photo
derive_num: 10
is_random: true
logfname: photo_random.log
nas_args:
  dynamic_behaviour: undefined
  dynamic_nas_steps: -1
  forward:
    mode: train
    softmax_temp: 5.0
    tanh_c: 2.5
  hidden_size: 100
  reset:
    init_range: 0.1
ss_args:
  debug: false
  prob_scale: 1
  type: basic
  with_combinations: true
trainer_args:
  derive:
    derive_from_history: false
  eval:
    save_model_flag: false
  train:
    derive_finaly: false
    num_eras: 30
    save_eras: 300
  train_controller:
    epochs: 20

INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sage', 'sage', 2, 220], 0.9431372549019608)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gat', 'gin', 2, 200], 0.8307189542483661)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'gat', 2, 160], 0.9235294117647059)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'tag', 2, 140], 0.22679738562091503)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'sg', 2, 100], 0.8379084967320262)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['tag', 'tag', 2, 160], 0.2326797385620915)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['tag', 'sage', 2, 120], 0.2529411764705882)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sg', 'ssg', 2, 220], 0.9098039215686274)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'ssg', 2, 100], 0.9183006535947712)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['ssg', 'gat', 2, 100], 0.8431372549019608)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['ssg', 'tag', 2, 220], 0.3843137254901961)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sage', 'tag', 2, 120], 0.2326797385620915)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sg', 'sg', 2, 100], 0.8797385620915033)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sg', 'gmm', 2, 100], 0.8588235294117647)
INFO:nas.trainer:train | 8 era_time 1153.7884364128113
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gat', 'gin', 2, 180], 0.7869281045751634)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sage', 'gcn', 2, 220], 0.938562091503268)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['tag', 'gin', 2, 160], 0.3980392156862745)
